symptoms,predicted_condition,followup_questions
"thoughts_of_death, irritability, physical_aches_and_pains, low_energy, loss_of_interest",Depression,"['Have you had professional help for thoughts of death before?', 'Have you talked to anyone about your low energy?', 'Does anything help relieve your loss of interest?', 'Have you had professional help for physical aches and pains before?', 'On a scale of 1 to 10, how severe is your irritability?']"
"low_mood, loss_of_interest, low_energy, physical_aches_and_pains",Depression,"['How do you usually cope with low mood?', 'On a scale of 1 to 10, how severe is your physical aches and pains?', 'On a scale of 1 to 10, how severe is your loss of interest?', 'Have you talked to anyone about your low energy?']"
"thoughts_of_death, irritability, low_energy, loss_of_interest, physical_aches_and_pains",Depression,"['Does thoughts of death affect your daily functioning?', 'Does anything help relieve your low energy?', 'Does anything help relieve your loss of interest?', 'How do you usually cope with irritability?', 'How do you usually cope with physical aches and pains?']"
"thoughts_of_death, low_mood, low_energy, loss_of_interest, physical_aches_and_pains, irritability",Depression,"['Is low energy interfering with your relationships or work?', 'How do you usually cope with loss of interest?', 'Does anything help relieve your low mood?', 'How long have you experienced thoughts of death?', 'How do you usually cope with physical aches and pains?']"
"stomachaches, feeling_on_edge, sleep_disturbance, overthinking",Generalized Anxiety Disorder (GAD),"['On a scale of 1 to 10, how severe is your sleep disturbance?', 'On a scale of 1 to 10, how severe is your feeling on edge?', 'Is there a specific event that triggered your stomachaches?', 'Have you had professional help for overthinking before?']"
"overthinking, mind_going_blank, nausea, stomachaches",Generalized Anxiety Disorder (GAD),"['Have you had professional help for mind going blank before?', 'Do you notice overthinking getting worse over time?', 'Have you talked to anyone about your nausea?', 'Do you notice stomachaches getting worse over time?']"
"stomachaches, mind_going_blank, overthinking, sleep_disturbance, feeling_on_edge",Generalized Anxiety Disorder (GAD),"['Is mind going blank interfering with your relationships or work?', 'Is feeling on edge interfering with your relationships or work?', 'How long have you experienced overthinking?', 'Is there a specific event that triggered your sleep disturbance?', 'Do you notice stomachaches getting worse over time?']"
"overthinking, stomachaches, feeling_on_edge, nausea, sleep_disturbance, mind_going_blank",Generalized Anxiety Disorder (GAD),"['How do you usually cope with overthinking?', 'Does anything help relieve your sleep disturbance?', 'Do you notice nausea getting worse over time?', 'Have you had professional help for stomachaches before?', 'Is there a specific event that triggered your feeling on edge?']"
"feeling_on_edge, mind_going_blank, sleep_disturbance, overthinking",Generalized Anxiety Disorder (GAD),"['On a scale of 1 to 10, how severe is your feeling on edge?', 'Have you talked to anyone about your overthinking?', 'How do you usually cope with sleep disturbance?', 'Do you notice mind going blank getting worse over time?']"
"flact_affect, abnormal_behavior, inability_to_feel_pleasure, delusion, disorganized_thinking",Schizophrenia,"['Have you had professional help for flact affect before?', 'Have you had professional help for inability to feel pleasure before?', 'How long have you experienced abnormal behavior?', 'Does disorganized thinking affect your daily functioning?', 'How long have you experienced delusion?']"
"inability_to_feel_pleasure, abnormal_behavior, delusion, flact_affect",Schizophrenia,"['Does flact affect affect your daily functioning?', 'Have you talked to anyone about your delusion?', 'Is inability to feel pleasure interfering with your relationships or work?', 'Have you talked to anyone about your abnormal behavior?']"
"disorganized_thinking, abnormal_behavior, inability_to_feel_pleasure, delusion, flact_affect",Schizophrenia,"['How long have you experienced inability to feel pleasure?', 'Does anything help relieve your abnormal behavior?', 'Is there a specific event that triggered your flact affect?', 'How do you usually cope with delusion?', 'How do you usually cope with disorganized thinking?']"
"unpredictable_behavior, inability_to_feel_pleasure, delusion, disorganized_thinking, flact_affect, abnormal_behavior",Schizophrenia,"['Is abnormal behavior interfering with your relationships or work?', 'On a scale of 1 to 10, how severe is your inability to feel pleasure?', 'How long have you experienced delusion?', 'Does anything help relieve your unpredictable behavior?', 'How long have you experienced flact affect?']"
"delusion, disorganized_thinking, abnormal_behavior, flact_affect, unpredictable_behavior",Schizophrenia,"['Do you notice abnormal behavior getting worse over time?', 'Does anything help relieve your disorganized thinking?', 'Does delusion affect your daily functioning?', 'Does flact affect affect your daily functioning?', 'How long have you experienced unpredictable behavior?']"
"delayed_speech, repetitive_behaviors, difficulty_in_maintaining_eye_contact, hypersensitivity_to_sensory_stimuli",Autism Spectrum Disorder,"['Does difficulty in maintaining eye contact affect your daily functioning?', 'Do you notice hypersensitivity to sensory stimuli getting worse over time?', 'How do you usually cope with repetitive behaviors?', 'How long have you experienced delayed speech?']"
"delayed_speech, resistance_to_change, difficulty_understanding_non_verbal_cues, hypersensitivity_to_sensory_stimuli, repetitive_behaviors, difficulty_in_maintaining_eye_contact",Autism Spectrum Disorder,"['How do you usually cope with resistance to change?', 'Have you talked to anyone about your difficulty understanding non verbal cues?', 'How long have you experienced difficulty in maintaining eye contact?', 'How long have you experienced repetitive behaviors?', 'How do you usually cope with hypersensitivity to sensory stimuli?']"
"difficulty_in_maintaining_eye_contact, repetitive_behaviors, resistance_to_change, difficulty_understanding_non_verbal_cues",Autism Spectrum Disorder,"['Have you talked to anyone about your difficulty understanding non verbal cues?', 'On a scale of 1 to 10, how severe is your difficulty in maintaining eye contact?', 'On a scale of 1 to 10, how severe is your repetitive behaviors?', 'Does anything help relieve your resistance to change?']"
"delayed_speech, hypersensitivity_to_sensory_stimuli, resistance_to_change, difficulty_understanding_non_verbal_cues, difficulty_in_maintaining_eye_contact",Autism Spectrum Disorder,"['Is resistance to change interfering with your relationships or work?', 'How long have you experienced difficulty in maintaining eye contact?', 'Does anything help relieve your delayed speech?', 'How long have you experienced hypersensitivity to sensory stimuli?', 'Do you notice difficulty understanding non verbal cues getting worse over time?']"
"resistance_to_change, repetitive_behaviors, hypersensitivity_to_sensory_stimuli, delayed_speech, difficulty_in_maintaining_eye_contact, difficulty_understanding_non_verbal_cues",Autism Spectrum Disorder,"['Have you had professional help for resistance to change before?', 'Does anything help relieve your difficulty understanding non verbal cues?', 'On a scale of 1 to 10, how severe is your difficulty in maintaining eye contact?', 'How long have you experienced hypersensitivity to sensory stimuli?', 'Have you had professional help for delayed speech before?']"
